,Chroma_Mean,Chroma_Var,RMS_Mean,RMS_Var,Spectral_Centroid_Mean,Spectral_Centroid_Var,Spectral_Bandwidth_Mean,Spectral_Bandwidth_Var,Rolloff_Mean,Rolloff_Var,Zero_Crossing_Rate_Mean,Zero_Crossing_Rate_Var,Tempo,Tempo_Var,MFCC_1_Mean,MFCC_1_Var,MFCC_2_Mean,MFCC_2_Var,MFCC_3_Mean,MFCC_3_Var,MFCC_4_Mean,MFCC_4_Var,MFCC_5_Mean,MFCC_5_Var,MFCC_6_Mean,MFCC_6_Var,MFCC_7_Mean,MFCC_7_Var,MFCC_8_Mean,MFCC_8_Var,MFCC_9_Mean,MFCC_9_Var,MFCC_10_Mean,MFCC_10_Var,MFCC_11_Mean,MFCC_11_Var,MFCC_12_Mean,MFCC_12_Var,MFCC_13_Mean,MFCC_13_Var,Label
classical.00005_segment_1,0.26897144317626953,0.08203849196434021,0.05148322507739067,0.00022119161440059543,1448.9153042145153,79143.81334830131,1612.1023571476724,24865.942426611604,2881.702141640081,313065.4602448823,0.07616394467807425,0.0007416924779270779,143.5546875,20607.948303222656,-225.21304321289062,142.34446716308594,-29.965147018432617,44.80970001220703,-11.8030366897583,14.343372344970703,-16.07854652404785,10.837543487548828,-11.139703750610352,13.609053611755371,-10.370170593261719,3.3527119159698486,-8.749178886413574,970.401123046875,252.9384002685547,107.68572235107422,47.985572814941406,48.248809814453125,32.56871032714844,40.499656677246094,45.78397750854492,42.06458282470703,56.1271858215332,52.992095947265625,59.90572738647461,84.92955780029297,0
classical.00005_segment_2,0.2597586512565613,0.08295495063066483,0.027706602588295937,0.0006375823286361992,1396.041828117465,54448.668662805016,1485.8515960254795,44492.9057039895,2730.8448171947507,250867.26416810488,0.07222030887470998,0.0004673924012986337,135.99917763157896,18495.776316465766,-340.4530029296875,135.521484375,-33.733097076416016,31.26061248779297,-3.9995477199554443,0.1750023066997528,-8.796862602233887,-0.8507646322250366,-9.178730964660645,-0.36176133155822754,-9.250478744506836,0.9357935786247253,-4.318027019500732,10338.8046875,257.69439697265625,203.346435546875,240.54832458496094,130.72731018066406,156.07794189453125,110.65380096435547,98.8025131225586,100.43846130371094,93.28056335449219,53.01268768310547,128.64324951171875,74.11770629882812,0
classical.00005_segment_3,0.279302716255188,0.08363665640354156,0.050421811640262604,0.0005337801994755864,1450.2378677068652,86523.0881651707,1579.863349640279,40509.18960724742,2897.414884987674,331470.298329292,0.07687200913573086,0.0006376009061713972,143.5546875,20607.948303222656,-231.82254028320312,142.91644287109375,-32.23668670654297,42.157447814941406,-9.57119369506836,8.827150344848633,-12.986384391784668,6.160399913787842,-11.08006763458252,6.172691822052002,-10.847305297851562,5.459546089172363,-2.9088351726531982,3245.645263671875,347.8469543457031,110.45438385009766,71.70100402832031,64.4541244506836,35.48222351074219,59.99580764770508,46.96017074584961,54.079063415527344,55.5462760925293,57.291587829589844,61.63560485839844,47.750667572021484,0
classical.00003_segment_1,0.21804583072662354,0.08389411866664886,0.030619317665696144,0.00025127004482783377,1609.284527996096,68535.49629857304,1469.7411092986815,59148.86535294048,2976.7030366335557,464060.0793176626,0.1215015951276102,0.0007305185667291957,135.99917763157896,18495.776316465766,-327.7252502441406,123.97154235839844,-37.40261459350586,37.994178771972656,-7.811909198760986,22.99239158630371,-2.984203815460205,-8.993279457092285,-6.515793323516846,4.509463310241699,5.0267109870910645,7.126518249511719,6.851480484008789,1498.8697509765625,344.71917724609375,345.5538635253906,162.3863983154297,51.189937591552734,99.43585205078125,76.59292602539062,76.11125946044922,86.684814453125,75.8615493774414,121.83049011230469,173.94003295898438,137.66004943847656,0
classical.00003_segment_2,0.2376260608434677,0.08214052766561508,0.023638200014829636,0.0004467546532396227,1435.2816887784884,110319.56744525822,1556.1824880046736,71755.69526417584,2823.1977776972158,606959.2279844162,0.09455436122389792,0.0015055145268271831,112.34714673913044,12621.881380423707,-353.90509033203125,126.43415832519531,-17.140783309936523,36.55390167236328,-0.9948254823684692,17.248891830444336,-2.1666407585144043,-0.8137214183807373,-3.365877866744995,5.746955871582031,-1.415141224861145,3.827624797821045,8.91008186340332,5052.8896484375,188.65145874023438,591.1337280273438,108.33477783203125,194.64793395996094,108.60984802246094,66.09750366210938,85.59455871582031,92.7038345336914,78.2022476196289,105.02912902832031,128.5204315185547,122.33917236328125,0
classical.00003_segment_3,0.24616728723049164,0.08344127237796783,0.03394746407866478,0.0003153194556944072,1537.6255675769369,81424.9277837159,1477.0193641660433,46174.13883210778,2943.3040893271464,413098.8070332076,0.11012271606728538,0.0008773733607833024,135.99917763157896,18495.776316465766,-301.849853515625,136.31118774414062,-41.722347259521484,41.65629196166992,-10.70107364654541,25.35398292541504,-2.9039664268493652,-1.571808099746704,-4.379456043243408,7.228559970855713,-6.993578910827637,-1.364074468612671,5.019248962402344,1699.5623779296875,383.8506774902344,189.67208862304688,110.26483917236328,109.58984375,124.12835693359375,73.81343078613281,101.56005096435547,101.35038757324219,67.96577453613281,90.57304382324219,176.21173095703125,183.4270477294922,0
classical.00000_segment_1,0.24225924909114838,0.08317586034536362,0.03464289382100105,0.00013688820763491094,1526.9379162508317,33418.94362633491,1561.6493752594797,28239.76205822483,2696.571551896027,184432.01086304255,0.10231474767981438,0.000418639260180951,95.703125,9159.088134765625,-268.0453186035156,134.1714324951172,-35.539527893066406,23.814584732055664,-13.067280769348145,20.569856643676758,-10.266087532043457,6.127233505249023,-12.05883502960205,9.376742362976074,-2.997790813446045,8.890342712402344,-5.018628120422363,724.2373657226562,148.2352294921875,245.44703674316406,132.3974151611328,91.65532684326172,84.45457458496094,63.65531539916992,58.14934539794922,90.70337677001953,213.62124633789062,138.77651977539062,74.1843490600586,161.1943817138672,0
classical.00000_segment_2,0.25866368412971497,0.08260761201381683,0.038483042269945145,0.00031203957041725516,1511.6511092594574,49878.17574738314,1576.5726784407723,29964.133156536936,2809.108767763921,257650.3727761053,0.09635341139791183,0.00046847290037091085,95.703125,9159.088134765625,-257.7903747558594,136.74057006835938,-35.09172058105469,30.049348831176758,-13.548050880432129,16.950244903564453,-10.682857513427734,6.509871006011963,-14.839896202087402,8.335233688354492,-4.525318622589111,8.53911018371582,-0.6046213507652283,1812.0035400390625,225.19287109375,179.90541076660156,107.7821044921875,55.02265930175781,43.41675567626953,105.8344497680664,58.437862396240234,44.544010162353516,120.74502563476562,83.38147735595703,85.73568725585938,117.16529846191406,0
classical.00000_segment_3,0.2513282001018524,0.08567527681589127,0.03547823056578636,0.00020654848776757717,1478.3128506648818,48509.96454731278,1542.2202285451415,73314.91760405771,2643.9376087587007,436545.48382411397,0.0956249546838747,0.0004103410291540582,92.28515625,8516.550064086914,-280.2148742675781,138.36297607421875,-33.65792465209961,24.98823356628418,-14.24091911315918,18.01859474182129,-10.759288787841797,5.8980326652526855,-17.006786346435547,6.155634880065918,-5.6675567626953125,8.429859161376953,0.5575186014175415,2654.462890625,196.3072967529297,273.38720703125,229.08505249023438,64.56365203857422,87.72781372070312,170.3233184814453,78.08226013183594,83.3974380493164,187.27561950683594,96.60733032226562,81.25540924072266,167.10963439941406,0
classical.00004_segment_1,0.22467559576034546,0.08559451252222061,0.041061364114284515,0.00027588289231061935,1623.8169682289583,56832.22073466988,1665.7970239418678,18078.499778724592,3081.421351598753,279182.92069635855,0.09949495178364269,0.000776645662495013,112.34714673913044,12621.881380423707,-266.83526611328125,119.33464813232422,-29.086708068847656,31.691017150878906,-16.067827224731445,8.363834381103516,-15.405888557434082,9.834335327148438,-8.048127174377441,4.136367321014404,-20.019676208496094,-0.3563879728317261,-6.01165771484375,380.9226989746094,184.38330078125,127.6417007446289,59.7635498046875,71.41889190673828,45.61001968383789,59.38435745239258,70.9913330078125,74.54996490478516,65.8801040649414,109.43541717529297,136.4849395751953,96.32928466796875,0
